Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Sukabumi,14,perempuan,dokter gigi,puskesmas,2020
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Sumedang,4,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Sumedang,9,perempuan,dokter gigi,puskesmas,2020
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Tasikmalaya,9,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Tasikmalaya,15,perempuan,dokter gigi,puskesmas,2020
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Bandung,14,laki-laki,dokter gigi,puskesmas,2020
Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Bandung,84,perempuan,dokter gigi,puskesmas,2020
Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Banjar,2,laki-laki,dokter gigi,puskesmas,2020
Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Banjar,8,perempuan,dokter gigi,puskesmas,2020
Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Bekasi,2,laki-laki,dokter gigi,puskesmas,2020
Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Bekasi,80,perempuan,dokter gigi,puskesmas,2020
Kota Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Bogor,2,laki-laki,dokter gigi,puskesmas,2020
Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Bogor,40,perempuan,dokter gigi,puskesmas,2020
Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2020
Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Cimahi,19,perempuan,dokter gigi,puskesmas,2020
Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Cirebon,8,laki-laki,dokter gigi,puskesmas,2020
Kota Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Cirebon,35,perempuan,dokter gigi,puskesmas,2020
Kota Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Depok,1,laki-laki,dokter gigi,puskesmas,2020
Kota Depok,1,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Depok,47,perempuan,dokter gigi,puskesmas,2020
Kota Depok,1,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Sukabumi,4,laki-laki,dokter gigi,puskesmas,2020
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Sukabumi,8,perempuan,dokter gigi,puskesmas,2020
Kota Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kota Tasikmalaya,5,laki-laki,dokter gigi,puskesmas,2020
Kota Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kota Tasikmalaya,17,perempuan,dokter gigi,puskesmas,2020
Kota Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Bandung,8,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Bandung,2,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bandung,17,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Bandung,9,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bandung Barat,5,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Bandung Barat,3,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bandung Barat,10,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Bandung Barat,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bekasi,27,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Bekasi,11,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bekasi,95,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Bekasi,28,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bogor,23,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Bogor,16,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bogor,59,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Bogor,37,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Ciamis,2,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Ciamis,6,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Ciamis,2,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Cianjur,15,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Cianjur,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Cianjur,51,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Cianjur,2,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Cirebon,3,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Cirebon,6,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Cirebon,18,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Cirebon,7,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Garut,1,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Garut,4,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Garut,2,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Indramayu,3,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Indramayu,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Indramayu,11,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Indramayu,4,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Karawang,15,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Karawang,12,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Karawang,31,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Karawang,8,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Kuningan,7,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Kuningan,12,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Kuningan,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Majalengka,1,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Majalengka,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Majalengka,5,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Pangandaran,1,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Pangandaran,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Pangandaran,0,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Pangandaran,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Purwakarta,2,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Purwakarta,2,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Purwakarta,14,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Purwakarta,2,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Subang,5,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Subang,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Subang,4,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Subang,0,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Sukabumi,4,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Sukabumi,5,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Sukabumi,15,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Sukabumi,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Sumedang,2,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Sumedang,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Sumedang,2,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi,rumah sakit,2020
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kabupaten Tasikmalaya,1,perempuan,dokter gigi,rumah sakit,2020
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Bandung,0,laki-laki,dokter gigi,rumah sakit,2020
Kota Bandung,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Bandung,0,perempuan,dokter gigi,rumah sakit,2020
Kota Bandung,0,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Banjar,1,laki-laki,dokter gigi,rumah sakit,2020
Kota Banjar,0,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Banjar,2,perempuan,dokter gigi,rumah sakit,2020
Kota Banjar,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Bekasi,18,laki-laki,dokter gigi,rumah sakit,2020
Kota Bekasi,8,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Bekasi,72,perempuan,dokter gigi,rumah sakit,2020
Kota Bekasi,36,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Bogor,12,laki-laki,dokter gigi,rumah sakit,2020
Kota Bogor,24,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Bogor,60,perempuan,dokter gigi,rumah sakit,2020
Kota Bogor,35,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Cimahi,3,laki-laki,dokter gigi,rumah sakit,2020
Kota Cimahi,10,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Cimahi,23,perempuan,dokter gigi,rumah sakit,2020
Kota Cimahi,20,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Cirebon,6,laki-laki,dokter gigi,rumah sakit,2020
Kota Cirebon,9,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Cirebon,14,perempuan,dokter gigi,rumah sakit,2020
Kota Cirebon,7,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Depok,22,laki-laki,dokter gigi,rumah sakit,2020
Kota Depok,36,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Depok,73,perempuan,dokter gigi,rumah sakit,2020
Kota Depok,82,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Sukabumi,2,laki-laki,dokter gigi,rumah sakit,2020
Kota Sukabumi,1,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Sukabumi,12,perempuan,dokter gigi,rumah sakit,2020
Kota Sukabumi,1,perempuan,dokter gigi spesialis,rumah sakit,2020
Kota Tasikmalaya,5,laki-laki,dokter gigi,rumah sakit,2020
Kota Tasikmalaya,2,laki-laki,dokter gigi spesialis,rumah sakit,2020
Kota Tasikmalaya,8,perempuan,dokter gigi,rumah sakit,2020
Kota Tasikmalaya,3,perempuan,dokter gigi spesialis,rumah sakit,2020
Kabupaten Bekasi,31,laki-laki,dokter gigi,klinik diklat kesehatan,2020
Kabupaten Bekasi,11,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2020
Kabupaten Bekasi,139,perempuan,dokter gigi,klinik diklat kesehatan,2020
Kabupaten Bekasi,28,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2020
Kota Cimahi,16,laki-laki,dokter gigi,klinik diklat kesehatan,2020
Kota Cimahi,1,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2020
Kota Cimahi,21,perempuan,dokter gigi,klinik diklat kesehatan,2020
Kota Cimahi,0,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2020
Kota Sukabumi,3,laki-laki,dokter gigi,klinik diklat kesehatan,2020
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2020
Kota Sukabumi,14,perempuan,dokter gigi,klinik diklat kesehatan,2020
Kota Sukabumi,0,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2020
Kota Bandung,4,laki-laki,dokter gigi,klinik DINKES,2020
Kota Bandung,0,laki-laki,dokter gigi spesialis,klinik DINKES,2020
Kota Bandung,16,perempuan,dokter gigi,klinik DINKES,2020
Kota Bandung,0,perempuan,dokter gigi spesialis,klinik DINKES,2020
Kota Sukabumi,3,laki-laki,dokter gigi,klinik DINKES,2020
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,klinik DINKES,2020
Kota Sukabumi,14,perempuan,dokter gigi,klinik DINKES,2020
Kota Sukabumi,0,perempuan,dokter gigi spesialis,klinik DINKES,2020
Kota Tasikmalaya,24,laki-laki,dokter gigi,klinik DINKES,2020
Kota Tasikmalaya,18,laki-laki,dokter gigi spesialis,klinik DINKES,2020
Kota Tasikmalaya,44,perempuan,dokter gigi,klinik DINKES,2020
Kota Tasikmalaya,20,perempuan,dokter gigi spesialis,klinik DINKES,2020
