Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Purwakarta,15,perempuan,dokter gigi,puskesmas,2019
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Subang,1,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Subang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Subang,18,perempuan,dokter gigi,puskesmas,2019
Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Sukabumi,8,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Sukabumi,13,perempuan,dokter gigi,puskesmas,2019
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Sumedang,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Sumedang,9,perempuan,dokter gigi,puskesmas,2019
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Tasikmalaya,7,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Tasikmalaya,16,perempuan,dokter gigi,puskesmas,2019
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bandung,13,laki-laki,dokter gigi,puskesmas,2019
Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bandung,94,perempuan,dokter gigi,puskesmas,2019
Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Banjar,1,laki-laki,dokter gigi,puskesmas,2019
Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Banjar,3,perempuan,dokter gigi,puskesmas,2019
Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bekasi,3,laki-laki,dokter gigi,puskesmas,2019
Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bekasi,70,perempuan,dokter gigi,puskesmas,2019
Kota Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bogor,2,laki-laki,dokter gigi,puskesmas,2019
Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bogor,41,perempuan,dokter gigi,puskesmas,2019
Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2019
Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Cimahi,16,perempuan,dokter gigi,puskesmas,2019
Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Cirebon,3,laki-laki,dokter gigi,puskesmas,2019
Kota Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Cirebon,18,perempuan,dokter gigi,puskesmas,2019
Kota Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Depok,1,laki-laki,dokter gigi,puskesmas,2019
Kota Depok,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Depok,50,perempuan,dokter gigi,puskesmas,2019
Kota Depok,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Sukabumi,4,laki-laki,dokter gigi,puskesmas,2019
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Sukabumi,5,perempuan,dokter gigi,puskesmas,2019
Kota Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Tasikmalaya,5,laki-laki,dokter gigi,puskesmas,2019
Kota Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Tasikmalaya,17,perempuan,dokter gigi,puskesmas,2019
Kota Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung,3,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bandung,2,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung,9,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bandung,5,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung Barat,6,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bandung Barat,2,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung Barat,13,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bandung Barat,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bekasi,3,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bekasi,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bekasi,28,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bekasi,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bogor,4,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bogor,5,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bogor,13,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bogor,10,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Ciamis,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Ciamis,4,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Ciamis,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cianjur,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Cianjur,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cianjur,7,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Cianjur,3,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cirebon,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Cirebon,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cirebon,5,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Cirebon,3,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Garut,0,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Garut,3,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Garut,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Indramayu,1,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Indramayu,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Indramayu,6,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Indramayu,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Karawang,11,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Karawang,6,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Karawang,17,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Karawang,5,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Kuningan,4,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Kuningan,7,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Kuningan,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Majalengka,1,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Majalengka,6,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Purwakarta,1,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Purwakarta,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Purwakarta,1,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Subang,3,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Subang,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Subang,6,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Subang,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Sukabumi,6,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Sukabumi,3,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Sukabumi,13,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Sukabumi,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Sumedang,0,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Sumedang,2,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Tasikmalaya,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Tasikmalaya,1,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Bandung,14,laki-laki,dokter gigi,rumah sakit,2019
Kota Bandung,16,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Bandung,55,perempuan,dokter gigi,rumah sakit,2019
Kota Bandung,27,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Banjar,1,laki-laki,dokter gigi,rumah sakit,2019
Kota Banjar,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Banjar,0,perempuan,dokter gigi,rumah sakit,2019
Kota Banjar,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Bekasi,7,laki-laki,dokter gigi,rumah sakit,2019
Kota Bekasi,8,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Bekasi,44,perempuan,dokter gigi,rumah sakit,2019
Kota Bekasi,9,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Bogor,8,laki-laki,dokter gigi,rumah sakit,2019
Kota Bogor,11,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Bogor,54,perempuan,dokter gigi,rumah sakit,2019
Kota Bogor,18,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Cimahi,0,laki-laki,dokter gigi,rumah sakit,2019
Kota Cimahi,3,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Cimahi,9,perempuan,dokter gigi,rumah sakit,2019
Kota Cimahi,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Cirebon,4,laki-laki,dokter gigi,rumah sakit,2019
Kota Cirebon,6,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Cirebon,13,perempuan,dokter gigi,rumah sakit,2019
Kota Cirebon,6,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Depok,5,laki-laki,dokter gigi,rumah sakit,2019
Kota Depok,6,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Depok,41,perempuan,dokter gigi,rumah sakit,2019
Kota Depok,29,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Sukabumi,3,laki-laki,dokter gigi,rumah sakit,2019
Kota Sukabumi,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Sukabumi,12,perempuan,dokter gigi,rumah sakit,2019
Kota Sukabumi,0,perempuan,dokter gigi spesialis,rumah sakit,2019
Kota Tasikmalaya,3,laki-laki,dokter gigi,rumah sakit,2019
Kota Tasikmalaya,2,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kota Tasikmalaya,1,perempuan,dokter gigi,rumah sakit,2019
Kota Tasikmalaya,5,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bogor,0,laki-laki,dokter gigi,klinik diklat kesehatan,2019
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2019
Kabupaten Bogor,1,perempuan,dokter gigi,klinik diklat kesehatan,2019
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2019
Kabupaten Garut,1,laki-laki,dokter gigi,klinik diklat kesehatan,2019
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2019
Kabupaten Garut,0,perempuan,dokter gigi,klinik diklat kesehatan,2019
Kabupaten Garut,0,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2019
